iter	Passed	Remaining
485	621	657
486	622	655
487	623	654
488	624	652
489	625	650
490	626	649
491	627	648
492	628	646
493	629	645
494	630	643
495	631	641
496	632	639
497	632	638
498	633	636
499	634	634
500	635	632
501	635	630
502	636	629
503	637	627
504	638	625
505	639	624
506	640	623
507	641	621
508	642	620
509	643	618
510	644	616
511	645	615
512	646	613
513	647	612
514	648	610
515	649	609
516	650	607
517	651	605
518	652	604
519	652	602
520	654	601
521	655	600
522	656	598
523	657	597
524	658	595
525	659	594
526	660	593
527	661	591
528	662	590
529	664	589
530	666	588
531	667	587
532	668	585
533	669	584
534	671	583
535	673	582
536	677	583
537	678	582
538	678	580
539	679	579
540	680	577
541	681	575
542	682	574
543	683	572
544	684	571
545	685	570
546	686	568
547	687	567
548	689	566
549	690	565
550	691	563
551	692	562
552	694	561
553	695	559
554	696	558
555	696	556
556	697	554
557	698	553
558	699	551
559	701	551
560	702	549
561	704	548
562	705	547
563	706	545
564	706	544
565	707	542
566	709	541
567	709	539
568	710	538
569	711	536
570	712	535
571	713	533
572	714	532
573	716	531
574	717	530
575	718	528
576	718	527
577	719	525
578	720	523
579	721	522
580	722	520
581	723	519
582	723	517
583	724	516
584	725	514
585	726	513
586	727	511
587	728	510
588	730	509
589	730	507
590	731	506
591	732	504
592	733	503
593	734	501
594	734	500
595	735	498
596	736	497
597	737	495
598	738	494
599	739	492
600	740	491
601	741	490
602	742	489
603	743	487
604	744	486
605	745	484
606	746	483
607	747	481
608	748	480
609	749	479
610	750	477
611	750	476
612	752	475
613	754	474
614	755	473
615	756	471
616	757	470
617	758	468
618	759	467
619	760	466
620	761	464
621	762	463
622	763	461
623	764	460
624	765	459
625	766	458
626	767	456
627	768	455
628	769	453
629	770	452
630	771	451
631	772	449
632	773	448
633	774	446
634	775	445
635	775	444
636	776	442
637	778	441
638	779	440
639	780	439
640	781	437
641	782	436
642	784	435
643	784	433
644	785	432
645	786	430
646	787	429
647	788	428
648	788	426
649	789	425
650	790	423
651	791	422
652	792	421
653	793	419
654	794	418
655	795	417
656	797	416
657	797	414
658	798	413
659	799	411
660	800	410
661	800	408
662	801	407
663	802	406
664	803	404
665	805	403
666	806	402
667	807	401
668	808	399
669	809	398
670	810	397
671	810	395
672	811	394
673	812	392
674	813	391
675	814	390
676	815	388
677	816	387
678	816	386
679	817	384
680	819	383
681	820	382
682	821	381
683	822	380
684	824	378
685	825	377
686	826	376
687	827	375
688	828	374
689	830	373
690	831	371
691	832	370
692	833	369
693	834	367
694	835	366
695	836	365
696	836	363
697	837	362
698	838	361
699	839	359
700	840	358
701	841	357
702	842	355
703	843	354
704	844	353
705	845	352
706	846	350
707	846	349
708	847	347
709	848	346
710	849	345
711	850	344
712	851	342
713	852	341
714	853	340
715	854	338
716	855	337
717	856	336
718	858	335
719	859	334
720	860	332
721	861	331
722	862	330
723	862	328
724	863	327
725	864	326
726	865	325
727	866	323
728	867	322
729	868	321
730	868	319
731	870	318
732	871	317
733	872	316
734	873	314
735	874	313
736	874	312
737	875	310
738	876	309
739	877	308
740	878	307
741	879	305
742	879	304
743	880	303
744	882	301
745	883	300
746	884	299
747	885	298
748	886	296
749	887	295
750	887	294
751	888	293
752	889	291
753	890	290
754	891	289
755	892	288
756	894	287
757	895	285
758	896	284
759	897	283
760	898	282
761	899	280
762	900	279
763	901	278
764	902	277
765	903	275
766	903	274
767	904	273
768	905	271
769	906	270
770	907	269
771	908	268
772	909	267
773	911	266
774	912	264
775	912	263
776	913	262
777	914	260
778	915	259
779	916	258
780	917	257
781	918	256
782	919	254
783	920	253
784	921	252
785	922	251
786	923	249
787	924	248
788	925	247
789	926	246
790	926	244
791	927	243
792	928	242
793	929	241
794	929	239
795	930	238
796	931	237
797	932	236
798	933	234
799	934	233
800	936	232
801	937	231
802	938	230
803	938	228
804	940	227
805	940	226
806	941	225
807	942	223
808	943	222
809	944	221
810	944	220
811	945	218
812	946	217
813	947	216
814	948	215
815	949	214
816	950	212
817	951	211
818	952	210
819	952	209
820	953	207
821	954	206
822	955	205
823	956	204
824	957	203
825	957	201
826	958	200
827	959	199
828	960	198
829	961	196
830	962	195
831	963	194
832	964	193
833	965	192
834	966	190
835	966	189
836	967	188
837	968	187
838	969	186
839	970	184
840	970	183
841	971	182
842	972	181
843	973	179
844	974	178
845	974	177
846	975	176
847	976	175
848	977	173
849	978	172
850	979	171
851	980	170
852	980	169
853	981	167
854	982	166
855	983	165
856	984	164
857	985	163
858	985	161
859	986	160
860	988	159
861	989	158
862	990	157
863	991	155
864	991	154
865	992	153
866	993	152
867	994	151
868	995	150
869	996	148
870	996	147
871	997	146
872	998	145
873	999	144
874	1000	142
875	1001	141
876	1002	140
877	1003	139
878	1004	138
879	1005	137
880	1006	135
881	1007	134
882	1008	133
883	1008	132
884	1009	131
885	1010	129
886	1011	128
887	1012	127
888	1013	126
889	1014	125
890	1015	124
891	1016	123
892	1017	121
893	1017	120
894	1018	119
895	1019	118
896	1020	117
897	1021	115
898	1022	114
899	1022	113
900	1023	112
901	1024	111
902	1025	110
903	1026	109
904	1027	107
905	1028	106
906	1029	105
907	1030	104
908	1031	103
909	1032	102
910	1033	100
911	1034	99
912	1034	98
913	1035	97
914	1036	96
915	1037	95
916	1038	94
917	1040	92
918	1041	91
919	1042	90
920	1043	89
921	1044	88
922	1045	87
923	1045	86
924	1046	84
925	1047	83
926	1048	82
927	1049	81
928	1049	80
929	1050	79
930	1051	77
931	1053	76
932	1054	75
933	1055	74
934	1055	73
935	1056	72
936	1057	71
937	1058	69
938	1059	68
939	1060	67
940	1061	66
941	1062	65
942	1063	64
943	1064	63
944	1065	62
945	1066	60
946	1067	59
947	1068	58
948	1069	57
949	1070	56
950	1071	55
951	1072	54
952	1073	52
953	1074	51
954	1075	50
955	1076	49
956	1077	48
957	1078	47
958	1079	46
959	1080	45
960	1081	43
961	1082	42
962	1083	41
963	1084	40
964	1084	39
965	1085	38
966	1086	37
967	1087	35
968	1088	34
969	1089	33
970	1090	32
971	1091	31
972	1092	30
973	1093	29
974	1094	28
975	1095	26
976	1096	25
977	1097	24
978	1097	23
979	1098	22
980	1099	21
981	1099	20
982	1100	19
983	1104	17
984	1106	16
985	1108	15
986	1109	14
987	1110	13
988	1112	12
989	1113	11
990	1113	10
991	1114	8
992	1119	7
993	1120	6
994	1121	5
995	1123	4
996	1124	3
997	1125	2
998	1126	1
999	1127	0
